TREE_ID,OBJECTID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
22997,4281,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3111647.383040000218898,10071190.363399999216199
22998,4282,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111614.680680000223219,10071137.866499999538064
22999,4283,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3111597.144619999919087,10071140.477399999275804
23000,4284,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,5,23,Fair,ROW,,3111575.412709999829531,10071204.70160000026226
23001,4285,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111500.991599999833852,10071217.573999999091029
23002,4286,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,5,23,Good,ROW,,3111431.369369999971241,10071168.21059999987483
23003,4287,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111408.115480000153184,10071172.82149999961257
23005,4288,315 BOWIE ST,Carya illinoinensis,Pecan,30,53,Good,Private,,3111115.999590000137687,10071131.979299999773502
23006,4289,315 BOWIE ST,Carya illinoinensis,Pecan,29,53,Fair,Private,,3111159.322339999955148,10071111.332100000232458
23007,4290,300 BOWIE ST,Ulmus parvifolia,Chinese Elm,16,23,Fair,ROW,,3111031.882629999890924,10071232.053600000217557
26464,4291,300 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Good,ROW,,3114510.543980000074953,10069781.79109999909997
26465,4292,300 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Good,ROW,,3114495.960680000018328,10069732.138299999758601
23008,4293,300 BOWIE ST,Ulmus parvifolia,Chinese Elm,24,38,Fair,ROW,,3111022.030290000140667,10071210.257099999114871
23009,4294,300 BOWIE ST,Pistacia chinensis,Chinese Pistache,11,23,Good,ROW,,3110937.965499999932945,10071005.411000000312924
23010,4295,300 BOWIE ST,Pistacia chinensis,Chinese Pistache,10,23,Fair,ROW,,3110926.685990000143647,10070984.683100000023842
23011,4296,300 BOWIE ST,Pistacia chinensis,Chinese Pistache,10,23,Fair,ROW,,3110917.324130000080913,10070957.859600000083447
